Rank,date,primaryTitle,budget,domestic_gross,world_gross
"1,321","Sep 10, 2004",Resident Evil: Apocalypse,"$50,000,000","$50,740,078","$125,168,734"
"1,504","Sep 10, 2004",Cellular,"$45,000,000","$32,003,620","$61,453,420"
"6,368","Sep 10, 2004",Malevolence,"$200,000","$126,021","$346,106"
"1,149","Sep 10, 2010",Resident Evil: Afterlife,"$57,500,000","$60,128,566","$295,874,190"
"4,609","Sep 10, 2010",Bran Nue Dae,"$6,750,000","$113,568","$6,812,530"
"4,956","Sep 10, 2010","Lovely, Still","$5,000,000","$127,564","$282,687"
"4,920","Sep 10, 2014",My Old Lady,"$5,000,000","$4,011,530","$15,220,308"
"6,185","Sep 10, 2014",Born to Fly: Elizabeth Streb vs. Gravity,"$500,000","$1,822","$1,822"
"4,824","Sep 10, 2015",The Visit,"$5,000,000","$65,206,105","$98,677,816"
"5,914","Sep 11, 1987",Hellraiser,"$1,000,000","$14,564,000","$14,575,148"
"3,047","Sep 11, 1994",Rapa Nui,"$20,000,000","$305,070","$305,070"
"2,624","Sep 11, 1998",Without Limits,"$25,000,000","$780,326","$780,326"
"2,941","Sep 11, 1998",Simon Birch,"$20,000,000","$18,253,415","$18,310,591"
"3,804","Sep 11, 1998",Rounders,"$12,000,000","$22,921,898","$22,921,898"
"6,277","Sep 11, 1998",Let's Talk About Sex,"$300,000","$373,615","$373,615"
"6,313","Sep 11, 1998",Cube,"$250,000","$489,220","$8,969,065"
"1,982","Sep 11, 2009",Whiteout,"$35,000,000","$10,275,638","$12,254,746"
"3,082","Sep 11, 2009",I Can Do Bad All By Myself,"$19,000,000","$51,733,921","$51,733,921"
"3,743","Sep 11, 2009",Sorority Row,"$12,500,000","$11,965,282","$26,735,797"
"6,396","Sep 11, 2009",The Horse Boy,"$160,000","$156,612","$156,612"
"2,015","Sep 11, 2014",The Maze Runner,"$34,000,000","$102,427,862","$348,319,861"
"2,617","Sep 11, 2015",Legend,"$25,000,000","$1,872,994","$42,280,444"
"4,914","Sep 11, 2015",90 Minutes in Heaven,"$5,000,000","$4,816,142","$4,816,142"
605,"Sep 11, 2018",The Predator,"$88,000,000.00","$51,024,708.00","$159,487,563.00"
796,"Sep 11, 2024",Transformers One,"$75,000,000.00","$58,098,673.00","$124,298,673.00"
