Rank,date,primaryTitle_x,budget,domestic_gross,world_gross,title_x,year,name_id,tconst,titleType,primaryTitle_y,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,nconst,writers,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title_y
"4,229",2010-04-30,Gunless,"$9,900,000","$458,054","$458,054",gunless,2010,gunless2010,tt1376195,movie,gunless,Gunless,0,2010,\N,89,"Action,Comedy,Drama",6.4,4066,nm0680889,nm0680889,William Phillips,\N,\N,"director,writer,miscellaneous","tt0293664,tt1376195,tt0123755,tt0284978",gunless
"5,349",2010-04-30,Please Give,"$3,000,000","$4,033,574","$4,566,662",please give,2010,please give2010,tt0878835,movie,please give,Please Give,0,2010,\N,87,"Comedy,Drama",6.6,11699,nm0392237,nm0392237,Nicole Holofcener,1960,\N,"director,writer,producer","tt2390361,tt0436331,tt4595882,tt4244994",please give
588,1997-04-04,The Saint,"$90,000,000.00","$61,363,304.00","$169,400,000.00",the saint,1997,the saint1997,tt0120053,movie,the saint,The Saint,0,1997,\N,116,"Action,Adventure,Romance",6.2,73015,nm0637518,"nm0153546,nm0378144,nm0834338",Phillip Noyce,1950,\N,"producer,director,writer","tt0252444,tt0258068,tt0435651,tt0108162",the saint
"6,304",1997-04-04,Chasing Amy,"$250,000","$12,006,514","$15,155,095",chasing amy,1997,chasing amy1997,tt0118842,movie,chasing amy,Chasing Amy,0,1997,\N,113,"Comedy,Drama,Romance",7.2,145162,nm0003620,nm0003620,Kevin Smith,1970,\N,"producer,actor,writer","tt0109445,tt0118842,tt0424345,tt0120655",chasing amy
"1,862",2003-04-04,A Man Apart,"$36,000,000","$26,500,000","$43,797,731",a man apart,2003,a man apart2003,tt0266465,movie,a man apart,A Man Apart,0,2003,\N,109,"Action,Crime,Drama",6.0,49845,nm0336620,"nm0345615,nm0771228",F. Gary Gray,1969,\N,"director,producer,actor","tt0117603,tt0317740,tt0120768,tt0113118",a man apart
"2,520",2003-04-04,What a Girl Wants,"$25,000,000","$35,990,505","$37,216,643",what a girl wants,2003,what a girl wants2003,tt0286788,movie,what a girl wants,What a Girl Wants,0,2003,\N,105,"Comedy,Drama,Family",5.8,67387,nm0330140,"nm0392942,nm0081081,nm0151358",Dennie Gordon,1953,\N,"director,producer,writer","tt5057054,tt5114356,tt4687880,tt3520702",what a girl wants
"5,363",2003-04-04,DysFunkTional Family,"$3,000,000","$2,255,000","$2,255,000",dysfunktional family,2003,dysfunktional family2003,tt0337996,movie,dysfunktional family,DysFunktional Family,0,2003,\N,89,"Comedy,Documentary",6.5,906,nm0303032,nm0341176,George Gallo,1956,\N,"writer,director,producer","tt0112442,tt0095631,tt1251757,tt0101252",dysfunktional family
"1,144",2008-04-04,Leatherheads,"$58,000,000","$31,373,938","$41,348,628",leatherheads,2008,leatherheads2008,tt0379865,movie,leatherheads,Leatherheads,0,2008,\N,114,"Comedy,Drama,Romance",6.0,33738,nm0000123,"nm1445106,nm0717733",George Clooney,1961,\N,"actor,producer,director","tt0465538,tt1193138,tt1124035,tt2177771",leatherheads
"2,559",2008-04-04,The Ruins,"$25,000,000","$17,432,844","$22,910,563",the ruins,2008,the ruins2008,tt0963794,movie,the ruins,The Ruins,0,2008,\N,90,"Adventure,Horror,Thriller",5.9,86504,nm2127650,nm0809895,Carter Smith,\N,\N,"director,writer,producer","tt0963794,tt0492940,tt2381046,tt14960854",the ruins
"5,928",2008-04-04,Shine a Light,"$1,000,000","$5,505,267","$16,173,879",shine a light,2008,shine a light2008,tt0893382,movie,shine a light,Shine a Light,0,2008,\N,122,"Biography,Documentary,Music",7.1,12377,nm0000217,\N,Martin Scorsese,1942,\N,"producer,director,actor","tt5537002,tt0075314,tt0070379,tt0099685",shine a light
