date,primaryTitle_x,budget,domestic_gross,world_gross,year,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,primaryName,birthYear
2019-04-12,Breakthrough,"$14,000,000","$40,713,082","$49,231,674",2019,Breakthrough,0,2019,116,"Biography,Drama",6.3,11235,Roxann Dawson,\N
2019-04-12,After,"$14,000,000","$12,138,565","$57,926,850",2019,After,0,2019,105,"Drama,Romance",5.3,68609,Jenny Gage,\N
2019-04-12,Her Smell,"$2,500,000","$255,599","$306,217",2019,Her Smell,0,2018,136,"Drama,Music",6.0,8355,Alex Ross Perry,1984
1957-04-13,12 Angry Men,"$340,000",$0,$379,1957,12 Angry Men,0,1957,96,"Crime,Drama",9.0,890263,Sidney Lumet,1924
1978-04-13,F.I.S.T,"$11,000,000","$20,388,920","$20,388,920",1978,F·I·S·T,0,1978,145,"Crime,Drama,Thriller",6.4,8895,Norman Jewison,1926
1984-04-13,Friday the 13th Part IV: The Final Chapter,"$2,600,000","$32,980,880","$32,981,717",1984,Friday the 13th: The Final Chapter,0,1984,91,"Horror,Thriller",6.0,61395,Joseph Zito,1946
1994-04-13,Serial Mom,"$13,000,000","$7,881,335","$7,884,087",1994,Serial Mom,0,1994,95,"Comedy,Crime,Thriller",6.8,35369,John Waters,1946
2001-04-13,Bridget Jones's Diary,"$25,000,000","$71,500,556","$272,595,053",2001,Bridget Jones's Diary,0,2001,97,"Comedy,Drama,Romance",6.8,268478,Sharon Maguire,1960
2007-04-13,Goodbye Bafana,"$30,000,000",$0,"$2,717,302",2007,Goodbye Bafana,0,2007,118,"Biography,Drama,History",7.1,12303,Bille August,1948
2007-04-13,Disturbia,"$20,000,000","$80,818,974","$118,537,627",2007,Disturbia,0,2007,105,"Crime,Drama,Mystery",6.8,261201,D.J. Caruso,1965
2007-04-13,Slow Burn,"$15,500,000","$1,237,615","$1,237,615",2007,Wilder,0,2000,90,"Action,Crime,Drama",4.9,575,Rodney Gibbons,\N
2007-04-13,Aqua Teen Hunger Force Colon Movie Film for The…,"$750,000","$5,520,368","$5,520,368",2007,Aqua Teen Hunger Force Colon Movie Film for Theaters,0,2007,86,"Action,Adventure,Animation",6.7,14583,Matt Maiellaro,1966
2007-04-13,Aqua Teen Hunger Force Colon Movie Film for The…,"$750,000","$5,520,368","$5,520,368",2007,Aqua Teen Hunger Force Colon Movie Film for Theaters,0,2007,86,"Action,Adventure,Animation",6.7,14583,Dave Willis,1970
2010-04-13,Three Kingdoms: Resurrection of the Dragon,"$20,000,000",$0,"$22,139,590",2010,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2012-04-13,The Three Stooges,"$30,000,000","$44,338,224","$54,052,249",2012,The Three Stooges,0,2012,92,"Comedy,Family",5.1,33504,Bobby Farrelly,1958
2012-04-13,The Three Stooges,"$30,000,000","$44,338,224","$54,052,249",2012,The Three Stooges,0,2012,92,"Comedy,Family",5.1,33504,Peter Farrelly,1956
2012-04-13,The Cabin in the Woods,"$30,000,000","$42,073,277","$70,683,134",2012,The Cabin in the Woods,0,2011,95,"Horror,Mystery,Thriller",7.0,461964,Drew Goddard,1975
2012-04-13,Lockout,"$20,000,000","$14,326,865","$33,943,049",2012,Lockout,0,2012,95,"Action,Sci-Fi,Thriller",6.0,101514,James Mather,\N
2012-04-13,Lockout,"$20,000,000","$14,326,865","$33,943,049",2012,Lockout,0,2012,95,"Action,Sci-Fi,Thriller",6.0,101514,Steve Saint Leger,\N
2012-04-13,Detention,"$10,000,000",$0,$0,2012,Detention,0,2010,81,"Horror,Thriller",2.9,993,James D.R. Hickox,1965
2012-04-13,Touchback,"$5,000,000","$204,157","$204,157",2012,Touchback,0,2011,118,"Drama,Family,Fantasy",6.5,4555,Don Handfield,\N
2012-04-13,Blue Like Jazz,"$1,200,000","$595,018","$595,018",2012,Blue Like Jazz,0,2012,108,"Comedy,Drama",5.8,3057,Steve Taylor,1957
2012-04-13,L!fe Happens,"$930,000","$30,905","$30,905",2012,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2017-04-13,Lady Macbeth,"$650,000","$1,129,408","$6,477,294",2017,Lady Macbeth,0,2016,89,"Drama,Romance",6.8,28018,William Oldroyd,\N
2018-04-13,Sgt. Stubby: An American Hero,"$25,000,000","$3,054,285","$3,823,620",2018,Sgt. Stubby: An American Hero,0,2018,84,"Adventure,Animation,Family",6.9,2639,Richard Lanni,\N
2022-04-13,Father Stu,"$4,000,000","$21,096,678","$21,799,053",2022,Father Stu,0,2022,124,"Biography,Drama",6.5,32365,Rosalind Ross,\N
2023-04-13,Mafia Mamma,"$41,000,000","$3,496,761","$7,777,708",2023,Mafia Mamma,0,2023,101,"Action,Comedy,Crime",5.4,11764,Catherine Hardwicke,1955
2000-04-14,28 Days,"$43,000,000","$37,035,515","$62,063,972",2000,28 Days,0,2000,103,"Comedy,Drama",6.1,55277,Betty Thomas,1947
2000-04-14,Keeping the Faith,"$29,000,000","$37,036,404","$45,336,404",2000,Keeping the Faith,0,2000,128,"Comedy,Drama,Romance",6.4,53539,Edward Norton,1969
2000-04-14,American Psycho,"$8,000,000","$15,070,285","$34,270,285",2000,American Psycho,0,2000,102,"Crime,Drama,Horror",7.6,747007,Mary Harron,1953
2000-04-14,East is East,"$3,000,000","$4,170,647","$30,438,635",2000,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2006-04-14,The Wild,"$80,000,000.00","$37,384,046.00","$99,010,667.00",2006,The Wild,0,2006,82,"Adventure,Animation,Comedy",5.2,28111,Steve 'Spaz' Williams,1963
2006-04-14,Scary Movie 4,"$40,000,000","$90,710,620","$178,710,620",2006,Scary Movie 4,0,2006,83,Comedy,5.1,131291,David Zucker,1947
2006-04-14,Hard Candy,"$950,000","$1,024,640","$8,267,066",2006,Hard Candy,0,2005,104,"Drama,Thriller",7.0,170119,David Slade,1969
2015-04-14,Roadside,"$500,000",$0,$0,2015,Roadside,0,2013,81,"Drama,Horror,Mystery",3.8,517,Eric England,1988
2016-04-14,I Am Wrath,"$18,000,000",$0,"$309,608",2016,I Am Wrath,0,2016,92,"Action,Thriller",5.4,16342,Chuck Russell,1958
2023-04-14,Beau is Afraid,"$35,000,000","$8,176,562","$11,174,650",2023,Beau Is Afraid,0,2023,179,"Comedy,Drama,Horror",6.7,66092,Ari Aster,1986
1983-04-15,Flashdance,"$7,000,000","$90,463,574","$201,463,574",1983,Flashdance,0,1983,95,"Drama,Music,Romance",6.2,60708,Adrian Lyne,1941
1983-04-15,Lone Wolf McQuade,"$5,000,000","$12,232,628","$12,232,628",1983,Lone Wolf McQuade,0,1983,107,"Action,Crime,Drama",6.3,14427,Steve Carver,1945
1983-04-15,The Evil Dead,"$375,000","$2,400,000","$29,400,000",1983,The Evil Dead,0,1981,85,Horror,7.4,238232,Sam Raimi,1959
